epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14753,4.39389,5.97564,1.57027,0.00184,0.04288,9e-05,2e-05,2.48652,3.83389,0.7727,0.0002858,0.0002858,0.0002858
2,5.39675,2.65071,2.86919,0.82156,0.00014,0.00256,0,0,2.60078,3.43831,0.78228,0.00058009,0.00058009,0.00058009
3,7.56417,2.14697,2.17029,0.77023,0.04541,0.88645,0.54984,0.27077,1.80649,2.87054,0.74739,0.000868438,0.000868438,0.000868438
4,9.69267,2.03519,1.92495,0.77474,0.05649,0.99292,0.72283,0.27727,2.16604,2.37609,0.79988,0.00115084,0.00115084,0.00115084
5,11.7746,2.13317,1.74194,0.77503,0.93568,0.5278,0.90338,0.43691,1.94046,1.96162,0.77057,0.00137241,0.00137241,0.00137241
6,13.8626,2.18453,1.63862,0.76993,0.88557,0.80728,0.9439,0.43074,1.89652,1.62935,0.77162,0.00135826,0.00135826,0.00135826
7,15.9131,2.0099,1.52179,0.76243,0.89363,0.95363,0.96016,0.49396,1.74099,1.36438,0.77023,0.00134412,0.00134412,0.00134412
8,17.9678,2.05444,1.45651,0.75933,0.91845,0.94924,0.95364,0.48523,1.7742,1.18874,0.76715,0.00132997,0.00132997,0.00132997
9,20.0569,1.83778,1.30659,0.75449,0.88896,0.97781,0.94724,0.56159,1.44946,0.87872,0.75396,0.00131582,0.00131582,0.00131582
10,22.1346,1.72775,1.20572,0.75001,0.94959,0.99322,0.96111,0.57493,1.47891,0.83085,0.74943,0.00130168,0.00130168,0.00130168
11,24.2366,1.63634,1.11953,0.75216,0.94678,0.99166,0.967,0.63066,1.29517,0.72298,0.74758,0.00128753,0.00128753,0.00128753
12,26.3354,1.82559,1.18294,0.76183,0.94854,0.99334,0.99001,0.52446,1.73208,0.90049,0.75057,0.00127338,0.00127338,0.00127338
13,28.411,1.9535,1.23734,0.75897,0.91602,0.95747,0.97001,0.53895,1.54214,0.72037,0.75889,0.00125923,0.00125923,0.00125923
14,30.509,1.82983,1.15363,0.74659,0.95174,0.99539,0.98604,0.57106,1.51413,0.66456,0.75677,0.00124509,0.00124509,0.00124509
15,32.647,1.66928,1.05418,0.75385,0.95622,0.99605,0.98653,0.6433,1.31751,0.64497,0.73997,0.00123094,0.00123094,0.00123094
16,34.7885,1.62137,1.01004,0.74784,0.94059,0.99478,0.98473,0.57589,1.47884,0.68338,0.75644,0.00121679,0.00121679,0.00121679
17,36.8901,1.60724,0.92387,0.74628,0.95062,0.99299,0.9889,0.63838,1.23555,0.62817,0.74242,0.00120265,0.00120265,0.00120265
18,38.9646,1.56655,0.89663,0.74436,0.95901,0.991,0.99098,0.50696,1.64764,0.70689,0.75493,0.0011885,0.0011885,0.0011885
19,41.0071,1.57624,0.88609,0.75206,0.9526,0.99125,0.98902,0.67016,1.2318,0.57609,0.74298,0.00117435,0.00117435,0.00117435
20,43.0838,1.72549,0.86981,0.74447,0.95059,0.99744,0.98381,0.63955,1.37509,0.62237,0.7443,0.00116021,0.00116021,0.00116021
21,45.2053,1.54707,0.85243,0.75183,0.94935,0.99808,0.98629,0.61395,1.31223,0.62204,0.74773,0.00114606,0.00114606,0.00114606
