image,Left 1 Point Line_x,Left 1 Point Line_y,Right 1 Point Line_x,Right 1 Point Line_y,Left 2 Point Line_x,Left 2 Point Line_y,Right 2 Point Line_x,Right 2 Point Line_y,Left 3 Point Line_x,Left 3 Point Line_y,Right 3 Point Line_x,Right 3 Point Line_y,Left Baseline_x,Left Baseline_y,Right Baseline_x,Right Baseline_y
../Data/keypoint_detection/images\IMG_9784_frame_000071.jpg,0.349797,0.207637,0.657662,0.206394,0.133519,0.688186,0.884975,0.686942,0.083863,0.798843,0.937103,0.798580,0.022069,0.939961,0.997793,0.939698
../Data/keypoint_detection/images\IMG_9786_frame_002582.jpg,0.360480,0.245220,0.639354,0.246350,0.166873,0.619350,0.803870,0.619915,0.123738,0.698471,0.838980,0.700167,0.074584,0.797938,0.879106,0.800199
../Data/keypoint_detection/images\IMG_9812_frame_000266.jpg,0.321358,0.307689,0.600748,0.302602,0.129757,0.724771,0.819434,0.710642,0.084264,0.820282,0.871597,0.803892,0.034107,0.941789,0.928777,0.923704
../Data/keypoint_detection/images\IMG_9783_frame_000840.jpg,0.373852,0.224298,0.676090,0.223614,0.163864,0.675628,0.892147,0.679731,0.115312,0.777519,0.939485,0.784358,0.058263,0.908132,0.997748,0.915654
../Data/keypoint_detection/images\IMG_9924_frame_000005.jpg,0.347543,0.259526,0.630408,0.255645,0.124184,0.657789,0.797711,0.653423,0.074166,0.746076,0.836146,0.743165,0.014661,0.855707,0.880990,0.854737
../Data/keypoint_detection/images\IMG_9809_frame_000370.jpg,0.310072,0.231260,0.609110,0.223538,0.107036,0.704971,0.848560,0.684193,0.060690,0.814121,0.903733,0.791741,0.006621,0.952753,0.969103,0.927265
../Data/keypoint_detection/images\IMG_9924_frame_000056.jpg,0.363488,0.249841,0.649380,0.247416,0.138404,0.649074,0.811999,0.648104,0.086660,0.735906,0.849944,0.736876,0.026734,0.846993,0.891339,0.848933
../Data/keypoint_detection/images\IMG_9776_frame_000297.jpg,0.383811,0.280977,0.666850,0.280977,0.166850,0.725848,0.884912,0.730812,0.116189,0.830086,0.935573,0.836291,0.052313,0.960383,0.997797,0.970838
../Data/keypoint_detection/images\IMG_9921_frame_000017.jpg,0.374278,0.283030,0.650243,0.281575,0.190588,0.671591,0.830971,0.669165,0.151781,0.755027,0.872366,0.752602,0.102624,0.859323,0.918935,0.858352
../Data/keypoint_detection/images\IMG_9922_frame_000037.jpg,0.331579,0.261483,0.596333,0.259543,0.191872,0.589407,0.772329,0.579705,0.163413,0.654895,0.806824,0.644223,0.130642,0.735906,0.849944,0.723779
../Data/keypoint_detection/images\IMG_9781_frame_000321.jpg,0.395455,0.472227,0.634012,0.469643,0.238557,0.780827,0.810178,0.775658,0.205526,0.847509,0.848714,0.840789,0.166990,0.929182,0.891838,0.922462
../Data/keypoint_detection/images\IMG_9809_frame_001005.jpg,0.308969,0.230639,0.609375,0.223538,0.108139,0.705592,0.847723,0.684815,0.061794,0.814121,0.903999,0.791120,0.005517,0.952753,0.972414,0.928508
../Data/keypoint_detection/images\IMG_9921_frame_000028.jpg,0.377796,0.286806,0.652906,0.285604,0.196052,0.674481,0.836787,0.672477,0.156853,0.758270,0.876700,0.755865,0.111239,0.861303,0.925164,0.861688
../Data/keypoint_detection/images\IMG_9783_frame_000677.jpg,0.371028,0.253697,0.665085,0.255130,0.161506,0.694818,0.881629,0.698774,0.111349,0.797110,0.928777,0.801632,0.053167,0.924270,0.987962,0.932747
../Data/keypoint_detection/images\IMG_9929_frame_000078.jpg,0.335695,0.268385,0.613081,0.264416,0.164785,0.645877,0.816135,0.634411,0.127154,0.727902,0.861233,0.715995,0.082319,0.831095,0.915329,0.818306
../Data/keypoint_detection/images\IMG_9810_frame_000333.jpg,0.352004,0.243445,0.637248,0.240026,0.186926,0.643488,0.852091,0.631179,0.148084,0.729651,0.899430,0.716658,0.106815,0.839748,0.954051,0.824020
../Data/keypoint_detection/images\IMG_9922_frame_000000.jpg,0.338478,0.261483,0.605025,0.258070,0.204808,0.593773,0.789577,0.585024,0.176349,0.660231,0.826659,0.650027,0.141853,0.743668,0.870641,0.732493
../Data/keypoint_detection/images\IMG_9921_frame_000045.jpg,0.379599,0.289994,0.652428,0.288230,0.197713,0.675424,0.838234,0.674542,0.156945,0.759213,0.876913,0.757449,0.109906,0.863287,0.924737,0.861524
../Data/keypoint_detection/images\IMG_9810_frame_000460.jpg,0.353107,0.245276,0.636997,0.238494,0.188591,0.643708,0.850531,0.631840,0.150472,0.730742,0.898682,0.716613,0.107337,0.839251,0.952852,0.824557
../Data/keypoint_detection/images\IMG_9925_frame_000047.jpg,0.334911,0.285143,0.607593,0.278969,0.168558,0.657784,0.783618,0.643672,0.131711,0.734958,0.820466,0.720405,0.090159,0.832859,0.866721,0.817424
../Data/keypoint_detection/images\IMG_9922_frame_000017.jpg,0.334911,0.261770,0.599900,0.259124,0.198497,0.592075,0.780218,0.582374,0.170273,0.657343,0.815762,0.648523,0.137345,0.740691,0.860450,0.728784
../Data/keypoint_detection/images\IMG_9925_frame_000049.jpg,0.334764,0.285143,0.606809,0.278969,0.168558,0.658666,0.784776,0.643672,0.133279,0.736281,0.822818,0.720405,0.090943,0.833741,0.868289,0.817424
../Data/keypoint_detection/images\IMG_9781_frame_000566.jpg,0.402795,0.214802,0.697322,0.214802,0.156897,0.641259,0.853302,0.649530,0.101846,0.733787,0.889085,0.745677,0.036701,0.851645,0.929456,0.867669
../Data/keypoint_detection/images\IMG_9929_frame_000013.jpg,0.327606,0.279189,0.601535,0.275581,0.157266,0.650026,0.797533,0.637999,0.118311,0.731009,0.841064,0.716977,0.074123,0.831235,0.893038,0.816001
../Data/keypoint_detection/images\IMG_9925_frame_000018.jpg,0.344319,0.291317,0.610876,0.286466,0.168705,0.656902,0.774731,0.646318,0.131073,0.733635,0.811058,0.722169,0.087170,0.828008,0.851826,0.816101
../Data/keypoint_detection/images\IMG_9812_frame_000241.jpg,0.321107,0.306482,0.600282,0.303111,0.129105,0.724242,0.819870,0.710303,0.087173,0.819358,0.870630,0.803553,0.034207,0.940942,0.928009,0.922292
../Data/keypoint_detection/images\IMG_9812_frame_000163.jpg,0.321006,0.307124,0.601887,0.302037,0.128403,0.723641,0.819569,0.709512,0.084264,0.819716,0.870594,0.803892,0.033104,0.940659,0.927774,0.923704
../Data/keypoint_detection/images\IMG_9927_frame_000008.jpg,0.370191,0.324832,0.628124,0.323509,0.211825,0.662194,0.783354,0.659548,0.178897,0.731430,0.815498,0.729225,0.142049,0.816101,0.853130,0.814337
../Data/keypoint_detection/images\IMG_9809_frame_000228.jpg,0.309639,0.231917,0.607862,0.224200,0.108605,0.704590,0.847456,0.684254,0.063007,0.814574,0.903002,0.791680,0.006632,0.951892,0.968496,0.927137
../Data/keypoint_detection/images\IMG_9809_frame_000117.jpg,0.308969,0.230639,0.610213,0.224781,0.107036,0.704349,0.847723,0.684815,0.060690,0.813763,0.903999,0.790498,0.005517,0.952753,0.969103,0.927265
../Data/keypoint_detection/images\IMG_9809_frame_000012.jpg,0.309320,0.231091,0.608773,0.224046,0.107337,0.704123,0.846519,0.684080,0.059186,0.812689,0.901692,0.791459,0.005016,0.951962,0.967899,0.928226
../Data/keypoint_detection/images\IMG_9777_frame_000951.jpg,0.350771,0.260501,0.622797,0.259260,0.159141,0.655736,0.812225,0.651393,0.116189,0.740740,0.854075,0.737017,0.067731,0.849321,0.904736,0.843736
../Data/keypoint_detection/images\IMG_9922_frame_000007.jpg,0.336754,0.261968,0.603232,0.259543,0.201358,0.593288,0.785197,0.584071,0.173762,0.660716,0.823210,0.650044,0.140129,0.743182,0.868054,0.732025
../Data/keypoint_detection/images\IMG_9921_frame_000063.jpg,0.377247,0.293081,0.650860,0.291762,0.194577,0.680274,0.835362,0.677632,0.155377,0.763623,0.877697,0.761422,0.106770,0.867701,0.924737,0.866378
../Data/keypoint_detection/images\IMG_9809_frame_000039.jpg,0.308271,0.230423,0.609183,0.224714,0.106698,0.705607,0.847202,0.684542,0.060189,0.813500,0.901509,0.792949,0.005472,0.952219,0.968082,0.928585
../Data/keypoint_detection/images\IMG_9809_frame_001781.jpg,0.307865,0.230376,0.610213,0.223538,0.104829,0.704708,0.847457,0.684815,0.060690,0.814743,0.901526,0.791120,0.003310,0.953375,0.969103,0.926643
../Data/keypoint_detection/images\IMG_9809_frame_000495.jpg,0.308969,0.231393,0.607906,0.223481,0.107337,0.705556,0.847522,0.685210,0.060189,0.813500,0.903698,0.791459,0.006019,0.952527,0.968903,0.928226
