,Unnamed: 0,frame,class_id,class_name,confidence,track_id,pred_x,pred_y,x,y,lag_x,lag_y,lag_frame,n_frames_for_stone,in_bounds_x,in_bounds_y,in_bounds,dist,s,final_class_name,stone_score,stone_settled,stone_initialized,stones_in_frame,stones_settled_in_frame,stones_initialized_in_frame,event,lag_event,stones_newly_settled_flag,start_new_toss_flag,round_event_flag,start_or_settled_last,cumsum,toss_id,track_id_max_y_on_board,is_tossed_stone,max_frame_in_toss
0,0,0,0,black_stone,0.8854806423187256,1,350.20867919921875,580.5711669921875,13.389512920134097,37.13406947478181,,,,2151,1,1,1,,,black_stone,1,0,1,3,0,3,stone_initialized,,0,1,1,start,1,1,37.13406947478181,0,0
114,0,182,0,black_stone,0.7728410363197327,1,439.1158447265625,599.1357421875,18.36082937530949,34.94266623472007,18.314296299611932,35.002482211318274,181.0,2151,1,1,1,0.07578441917882053,0.1291779872366259,black_stone,1,0,0,3,2,0,stone_in_motion,stone_in_motion,0,0,0,start,2,2,37.16660041038309,0,182
285,0,475,0,black_stone,0.8504032492637634,1,443.3103942871094,600.3302001953125,18.586122839426515,34.80683214062007,18.58768510666228,34.80797123695132,474.0,2151,1,1,1,0.0019334475342807338,0.003295649206160342,black_stone,1,1,0,5,4,0,stone_in_motion,stone_in_motion,0,0,0,start,3,3,34.827300444282926,0,475
1097,0,0,0,black_stone,0.8546881079673767,2,303.39398193359375,653.018310546875,10.947427411061655,29.492801209753495,,,,2176,1,1,1,,,black_stone,1,0,1,3,0,3,stone_initialized,stone_initialized,0,0,0,start,1,1,29.492801209753495,0,0
1211,0,182,0,black_stone,0.8995437622070312,2,324.01275634765625,659.5601806640625,12.023397792176889,28.86055682719019,12.026067185792888,28.85860198112482,181.0,2176,1,1,1,0.003308638000209707,0.005639723863993818,black_stone,1,1,0,3,2,0,stone_in_motion,stone_in_motion,0,0,0,start,2,2,29.553224006913123,0,182
1382,0,475,0,black_stone,0.9002166986465454,2,323.70416259765625,659.539794921875,12.007559211325296,28.86268739966217,12.00856967337175,28.861360780888347,474.0,2176,1,1,1,0.0016676183371469012,0.0028425312565003996,black_stone,1,1,0,5,4,0,stone_in_motion,stone_in_motion,0,0,0,start,3,3,28.879068043239297,0,475
1500,0,722,0,black_stone,0.8957653641700745,2,323.68084716796875,659.465087890625,12.006244608385808,28.869690473172643,12.008164556508246,28.872374049574773,721.0,2176,1,1,1,0.0032996640888016426,0.005624427424093709,black_stone,1,1,0,5,4,0,stone_in_motion,stone_in_motion,0,0,0,start,4,4,28.881140693111092,0,722
1653,0,972,0,black_stone,0.8904300332069397,2,323.59490966796875,659.6990356445312,12.002220783425695,28.84788054545612,12.003518425598338,28.847468600424616,971.0,2176,1,1,1,0.001361460215064658,0.00232067082113294,black_stone,1,1,0,7,6,0,stone_in_motion,stone_in_motion,0,0,0,start,5,5,28.873605636943488,0,972
1664,0,983,0,black_stone,0.887927770614624,2,323.6598205566406,659.7158813476562,12.0055719350172,28.846258921509403,12.006125442063158,28.849496130173954,982.0,2176,1,1,1,0.003284187873397279,0.005598047511472635,black_stone,1,1,0,7,6,0,stone_in_motion,stone_in_motion,0,0,0,start,6,6,28.849496130173954,0,983
1779,0,1236,0,black_stone,0.8803724050521851,2,323.4287109375,659.3684692382812,11.993171440342252,28.878911174853354,11.99316400824196,28.87987599939562,1235.0,2176,1,1,1,0.0009648531667939052,0.0016446360797623381,black_stone,1,1,0,8,7,0,stone_in_motion,stone_in_motion,0,0,0,start,7,7,28.88514778292566,0,1236
