epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69327,5.39712,17.4393,1.79089,0,0,0,0,4.00442,4.55009,1.03109,0.00011662,0.00011662,0.00011662
2,4.67324,3.5882,5.51957,0.95511,0,0,0,0,3.00034,4.44853,0.86992,0.000239178,0.000239178,0.000239178
3,6.64225,2.81902,4.29741,0.82783,0.00088,0.05259,0.00084,0.00014,2.35128,4.11183,0.81258,0.000359263,0.000359263,0.000359263
4,8.58786,2.40721,3.08201,0.79557,0.00578,0.30699,0.03479,0.00836,2.44161,3.67856,0.81146,0.000476873,0.000476873,0.000476873
5,10.5171,2.16644,2.63977,0.78678,0.01565,0.7208,0.22824,0.10023,1.99033,3.25556,0.78515,0.00059201,0.00059201,0.00059201
6,12.4944,2.12264,2.35837,0.76113,0.01909,0.87971,0.28516,0.11969,2.05447,2.89753,0.78473,0.000704672,0.000704672,0.000704672
7,14.4401,2.0287,2.1765,0.76162,0.42296,0.21602,0.40473,0.16457,2.08712,2.47365,0.78757,0.00078352,0.00078352,0.00078352
8,16.3703,2.02071,2.05501,0.75554,0.53116,0.37924,0.4488,0.22051,1.9184,2.15446,0.78438,0.000775273,0.000775273,0.000775273
9,18.2952,1.98394,1.94216,0.74359,0.45103,0.41492,0.46853,0.19944,2.09857,2.09285,0.79246,0.000767026,0.000767026,0.000767026
10,20.2013,1.89781,1.90533,0.76266,0.39192,0.50195,0.45126,0.18511,2.19664,1.97969,0.79282,0.00075878,0.00075878,0.00075878
11,22.1128,1.90403,1.82038,0.75435,0.43926,0.61681,0.46502,0.18883,2.21356,1.81118,0.81215,0.000750533,0.000750533,0.000750533
12,24.0305,1.77518,1.77604,0.74904,0.42355,0.60977,0.46643,0.17945,2.26415,1.74522,0.80411,0.000742286,0.000742286,0.000742286
13,25.9175,1.76997,1.72582,0.7536,0.45173,0.62514,0.46421,0.16874,2.41904,1.75701,0.81982,0.00073404,0.00073404,0.00073404
14,27.8211,1.76373,1.67411,0.74896,0.5115,0.66279,0.52451,0.22625,2.07252,1.77361,0.79449,0.000725793,0.000725793,0.000725793
