epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08603,5.35132,13.3568,1.85256,0,0,0,0,3.93411,4.59042,1.05894,0.00011662,0.00011662,0.00011662
2,5.08723,3.57604,5.34554,1.02583,0,0,0,0,2.83859,4.42452,0.86605,0.000239178,0.000239178,0.000239178
3,7.07423,2.7956,4.23215,0.87948,0.00086,0.05093,0.00138,0.00017,2.79042,4.07948,0.8553,0.000359263,0.000359263,0.000359263
4,9.0845,2.44124,3.20776,0.83247,0.01364,0.59615,0.14994,0.04784,2.52383,3.4847,0.81207,0.000476873,0.000476873,0.000476873
5,11.0556,2.29235,2.67555,0.79689,0.01689,0.77156,0.20988,0.07543,2.4409,3.13806,0.82554,0.00059201,0.00059201,0.00059201
6,13.0773,2.16787,2.46876,0.80327,0.01725,0.80797,0.23635,0.08607,2.39771,2.75699,0.81046,0.000704672,0.000704672,0.000704672
7,15.0264,2.21028,2.36908,0.80403,0.42948,0.18143,0.32777,0.12319,2.33836,2.51652,0.80822,0.00078352,0.00078352,0.00078352
8,16.9835,2.13662,2.18862,0.79016,0.27383,0.28438,0.2277,0.06425,2.77086,2.24119,0.83682,0.000775273,0.000775273,0.000775273
9,18.9186,2.01875,2.17003,0.79374,0.38806,0.36187,0.39832,0.18522,2.03307,2.04508,0.78908,0.000767026,0.000767026,0.000767026
10,20.8498,1.97018,2.00257,0.7763,0.40976,0.63923,0.40657,0.16704,2.20691,1.67845,0.80615,0.00075878,0.00075878,0.00075878
11,22.8031,1.96694,2.00689,0.78146,0.3704,0.48755,0.40757,0.15393,2.32332,1.8653,0.81864,0.000750533,0.000750533,0.000750533
12,24.7293,1.87203,1.92256,0.78491,0.38077,0.54959,0.38256,0.1307,2.53462,1.83153,0.83131,0.000742286,0.000742286,0.000742286
13,26.6483,1.80214,1.87241,0.78429,0.41866,0.68084,0.46841,0.20917,2.01417,1.66602,0.79056,0.00073404,0.00073404,0.00073404
14,28.6657,1.84123,1.82721,0.77978,0.42679,0.48772,0.36575,0.12229,2.70882,1.85934,0.85928,0.000725793,0.000725793,0.000725793
15,30.5983,1.85284,1.81275,0.76753,0.42573,0.62395,0.47026,0.2016,2.31814,1.58657,0.82215,0.000717546,0.000717546,0.000717546
16,32.5257,1.71342,1.75534,0.78316,0.52512,0.64346,0.54387,0.25752,2.0373,1.75833,0.80047,0.000709299,0.000709299,0.000709299
17,34.4469,1.7521,1.74622,0.76916,0.42722,0.73628,0.51429,0.24383,1.88595,1.58788,0.7913,0.000701053,0.000701053,0.000701053
18,36.3626,1.77897,1.72786,0.78004,0.42992,0.69189,0.51957,0.22404,2.14971,1.61283,0.79986,0.000692806,0.000692806,0.000692806
19,38.2706,1.69529,1.63701,0.77831,0.50895,0.77885,0.61123,0.28964,1.93252,1.40687,0.79389,0.000684559,0.000684559,0.000684559
20,40.18,1.64257,1.59412,0.77656,0.43695,0.74303,0.52696,0.22653,2.11599,1.51287,0.7974,0.000676313,0.000676313,0.000676313
21,42.0804,1.6556,1.57366,0.76959,0.42528,0.76481,0.47152,0.2267,1.90015,1.52361,0.78915,0.000668066,0.000668066,0.000668066
22,44.0097,1.68573,1.53034,0.77778,0.50154,0.74783,0.58647,0.27122,2.00726,1.45069,0.79143,0.000659819,0.000659819,0.000659819
23,45.9835,1.71733,1.50251,0.78098,0.54303,0.69207,0.59404,0.25207,2.1639,1.51138,0.80396,0.000651573,0.000651573,0.000651573
24,47.8856,1.68211,1.48599,0.77335,0.47436,0.62202,0.49173,0.20793,2.30064,1.58152,0.81389,0.000643326,0.000643326,0.000643326
25,49.7765,1.61614,1.38066,0.76761,0.5247,0.65785,0.5846,0.28899,1.89603,1.51152,0.78666,0.000635079,0.000635079,0.000635079
26,51.6608,1.71117,1.4063,0.77765,0.48721,0.56525,0.49899,0.1763,2.52667,1.77003,0.8342,0.000626832,0.000626832,0.000626832
27,53.5631,1.73146,1.38297,0.76847,0.55465,0.70443,0.62912,0.26464,2.17385,1.41928,0.81232,0.000618586,0.000618586,0.000618586
28,55.4559,1.65094,1.32726,0.76297,0.48058,0.60111,0.52844,0.22902,2.25181,1.75972,0.80829,0.000610339,0.000610339,0.000610339
29,57.3268,1.58668,1.29525,0.77443,0.48895,0.63151,0.51403,0.24102,2.05901,1.58112,0.79931,0.000602092,0.000602092,0.000602092
30,59.2178,1.52385,1.23838,0.77257,0.59177,0.66221,0.6442,0.29435,2.14542,1.50095,0.80857,0.000593846,0.000593846,0.000593846
31,61.1041,1.66993,1.258,0.77214,0.57862,0.62784,0.58206,0.25707,2.14171,1.5514,0.80924,0.000585599,0.000585599,0.000585599
32,63.0439,1.56876,1.20519,0.76339,0.62703,0.64259,0.61564,0.2842,2.09586,1.59103,0.79846,0.000577352,0.000577352,0.000577352
33,64.9257,1.53306,1.19191,0.7618,0.53204,0.60459,0.56335,0.25853,2.18408,1.75025,0.80599,0.000569106,0.000569106,0.000569106
34,66.804,1.60788,1.18135,0.76551,0.71458,0.6801,0.73352,0.36147,1.97659,1.41205,0.78752,0.000560859,0.000560859,0.000560859
35,68.6964,1.69942,1.21454,0.76783,0.59339,0.67596,0.66767,0.29813,2.04247,1.5905,0.7912,0.000552612,0.000552612,0.000552612
36,70.5774,1.59563,1.17431,0.76593,0.56073,0.65154,0.58995,0.28571,1.94575,1.59462,0.79262,0.000544365,0.000544365,0.000544365
37,72.4402,1.55924,1.11309,0.76533,0.59504,0.59691,0.61516,0.2768,2.04014,1.50642,0.79546,0.000536119,0.000536119,0.000536119
38,74.3242,1.49918,1.11559,0.76573,0.56759,0.6866,0.63395,0.29459,2.00107,1.4475,0.79244,0.000527872,0.000527872,0.000527872
39,76.1916,1.5577,1.12726,0.76139,0.50551,0.62429,0.56708,0.25243,2.0835,1.57493,0.80454,0.000519625,0.000519625,0.000519625
40,78.1218,1.47151,1.04975,0.7627,0.58655,0.60079,0.59309,0.26841,2.1881,1.42162,0.81404,0.000511379,0.000511379,0.000511379
41,79.9836,1.4793,1.03498,0.76367,0.59863,0.59114,0.60506,0.2728,2.32734,1.45057,0.82379,0.000503132,0.000503132,0.000503132
42,81.8846,1.46146,1.01655,0.76695,0.59118,0.67259,0.69473,0.30023,2.16667,1.36749,0.81483,0.000494885,0.000494885,0.000494885
43,83.776,1.47479,1.03312,0.76402,0.564,0.64994,0.63914,0.28133,2.12923,1.52996,0.80401,0.000486639,0.000486639,0.000486639
44,85.6853,1.56364,1.07023,0.7687,0.64292,0.70891,0.72401,0.32314,2.02799,1.29786,0.79643,0.000478392,0.000478392,0.000478392
45,87.5503,1.48953,1.04018,0.76461,0.70246,0.7057,0.74395,0.3548,1.8984,1.30537,0.793,0.000470145,0.000470145,0.000470145
46,89.4388,1.51987,1.04405,0.77275,0.67152,0.75615,0.76813,0.35833,1.94927,1.23058,0.79172,0.000461898,0.000461898,0.000461898
47,91.3108,1.49111,0.9938,0.75325,0.56556,0.69273,0.64246,0.26385,2.17003,1.40832,0.80621,0.000453652,0.000453652,0.000453652
48,93.201,1.42693,1.0044,0.75176,0.62002,0.71778,0.7204,0.32081,1.99112,1.33195,0.7976,0.000445405,0.000445405,0.000445405
49,95.1328,1.51452,1.02368,0.75966,0.64996,0.56925,0.55331,0.20294,2.50739,1.37542,0.83355,0.000437158,0.000437158,0.000437158
50,97.0035,1.47727,1.00549,0.76451,0.68834,0.7387,0.78791,0.34846,2.01332,1.26669,0.79821,0.000428912,0.000428912,0.000428912
51,98.8757,1.44326,0.9754,0.74992,0.69279,0.64155,0.66448,0.26992,2.24755,1.41992,0.81476,0.000420665,0.000420665,0.000420665
52,100.764,1.37884,0.96652,0.76923,0.56316,0.71856,0.63655,0.2903,2.02095,1.45795,0.80112,0.000412418,0.000412418,0.000412418
53,102.624,1.45067,0.96494,0.75426,0.57785,0.64941,0.60395,0.24205,2.28374,1.42463,0.81531,0.000404172,0.000404172,0.000404172
54,104.493,1.52882,0.99296,0.76226,0.66254,0.78684,0.77539,0.34744,1.90777,1.21003,0.78946,0.000395925,0.000395925,0.000395925
55,106.398,1.44207,0.95396,0.75678,0.53609,0.73267,0.67531,0.31521,1.88572,1.43915,0.78602,0.000387678,0.000387678,0.000387678
56,108.299,1.44804,0.9293,0.75316,0.59211,0.76096,0.7102,0.33022,1.85454,1.32997,0.78763,0.000379431,0.000379431,0.000379431
57,110.247,1.41672,0.95375,0.76215,0.61942,0.76581,0.75638,0.33969,1.97078,1.23781,0.79613,0.000371185,0.000371185,0.000371185
58,112.154,1.40273,0.92063,0.75561,0.60973,0.67887,0.71171,0.31773,1.95851,1.41527,0.79511,0.000362938,0.000362938,0.000362938
59,114.048,1.41656,0.93095,0.76325,0.59542,0.67145,0.64861,0.28558,1.94391,1.35422,0.79774,0.000354691,0.000354691,0.000354691
60,115.941,1.34534,0.89512,0.75542,0.59943,0.72028,0.74641,0.32598,2.05052,1.31622,0.80341,0.000346445,0.000346445,0.000346445
61,117.797,1.36039,0.87793,0.75835,0.73439,0.61864,0.74268,0.32361,2.02417,1.33647,0.80334,0.000338198,0.000338198,0.000338198
62,119.674,1.34718,0.90827,0.7608,0.61986,0.65873,0.68819,0.28291,2.12073,1.39617,0.80911,0.000329951,0.000329951,0.000329951
63,121.574,1.39561,0.87847,0.75259,0.58392,0.62595,0.66561,0.27889,2.0566,1.66245,0.80229,0.000321705,0.000321705,0.000321705
64,123.446,1.4194,0.88228,0.75385,0.79514,0.62275,0.73539,0.35406,1.86091,1.41655,0.78682,0.000313458,0.000313458,0.000313458
65,125.311,1.35351,0.84555,0.75416,0.6948,0.69865,0.74928,0.35816,1.87808,1.38446,0.78469,0.000305211,0.000305211,0.000305211
66,127.232,1.3355,0.85333,0.75865,0.67966,0.75519,0.7624,0.35637,1.92026,1.2531,0.7914,0.000296964,0.000296964,0.000296964
67,129.102,1.36081,0.89504,0.75053,0.6955,0.76183,0.78047,0.34352,1.92497,1.25003,0.78934,0.000288718,0.000288718,0.000288718
68,130.977,1.41031,0.87798,0.75097,0.68706,0.72281,0.73709,0.2983,2.14444,1.2668,0.81056,0.000280471,0.000280471,0.000280471
69,132.833,1.40418,0.86892,0.74472,0.73071,0.78543,0.79835,0.35408,1.99331,1.18446,0.79939,0.000272224,0.000272224,0.000272224
70,134.707,1.35134,0.87887,0.76308,0.67601,0.74998,0.77705,0.36774,1.87034,1.17621,0.79384,0.000263978,0.000263978,0.000263978
71,136.595,1.34751,0.86885,0.75805,0.67343,0.68428,0.6796,0.29124,2.11868,1.30742,0.81171,0.000255731,0.000255731,0.000255731
72,138.471,1.34859,0.8696,0.7544,0.67335,0.78583,0.77418,0.37205,1.88283,1.20755,0.79356,0.000247484,0.000247484,0.000247484
73,140.351,1.34015,0.83972,0.75944,0.70018,0.75947,0.77254,0.36021,1.90697,1.18262,0.79559,0.000239238,0.000239238,0.000239238
74,142.295,1.31666,0.81718,0.75004,0.71072,0.77902,0.796,0.38113,1.83032,1.17736,0.78916,0.000230991,0.000230991,0.000230991
75,144.186,1.28944,0.80288,0.75463,0.69069,0.7524,0.78271,0.36795,1.87668,1.24842,0.7927,0.000222744,0.000222744,0.000222744
76,146.045,1.32717,0.82925,0.75072,0.70521,0.7255,0.76402,0.33,2.068,1.25357,0.8067,0.000214497,0.000214497,0.000214497
77,147.924,1.33835,0.84634,0.76677,0.72116,0.77348,0.81766,0.38692,1.87625,1.20527,0.79208,0.000206251,0.000206251,0.000206251
78,149.794,1.3379,0.86228,0.75936,0.71006,0.76156,0.79201,0.3752,1.87403,1.23331,0.7909,0.000198004,0.000198004,0.000198004
79,151.668,1.28298,0.81086,0.75732,0.65641,0.75258,0.75577,0.34292,1.94433,1.3004,0.7938,0.000189757,0.000189757,0.000189757
80,153.534,1.24909,0.78794,0.7596,0.65941,0.7572,0.75137,0.36681,1.83998,1.25899,0.78769,0.000181511,0.000181511,0.000181511
81,155.397,1.3102,0.80754,0.75648,0.69595,0.76787,0.77673,0.35905,1.8817,1.21815,0.79104,0.000173264,0.000173264,0.000173264
82,157.27,1.27283,0.7803,0.75071,0.74226,0.74504,0.77465,0.34243,2.00622,1.2779,0.80152,0.000165017,0.000165017,0.000165017
83,159.202,1.31743,0.83247,0.76438,0.72694,0.74827,0.77403,0.34856,1.96942,1.25621,0.79983,0.000156771,0.000156771,0.000156771
84,161.079,1.27687,0.81251,0.75271,0.67688,0.77029,0.74865,0.3386,1.97116,1.22991,0.80151,0.000148524,0.000148524,0.000148524
85,162.943,1.26982,0.78081,0.75287,0.66971,0.75378,0.73531,0.32584,1.97943,1.24115,0.80151,0.000140277,0.000140277,0.000140277
86,164.819,1.2501,0.78411,0.75711,0.73683,0.77786,0.7951,0.36826,1.88401,1.20024,0.79284,0.000132031,0.000132031,0.000132031
87,166.713,1.30098,0.7992,0.75072,0.71095,0.76686,0.76912,0.35534,1.92462,1.21722,0.79266,0.000123784,0.000123784,0.000123784
88,168.582,1.25056,0.75646,0.74912,0.71318,0.77962,0.7807,0.35193,1.94466,1.19837,0.79622,0.000115537,0.000115537,0.000115537
89,170.45,1.30857,0.81154,0.7567,0.713,0.77219,0.79002,0.36291,1.86512,1.20158,0.79054,0.00010729,0.00010729,0.00010729
90,172.358,1.28298,0.79068,0.76465,0.69075,0.74711,0.75001,0.32487,1.96964,1.27487,0.79925,9.90437e-05,9.90437e-05,9.90437e-05
91,192.685,1.17897,0.82205,0.77235,0.73664,0.71838,0.7543,0.34846,1.91907,1.27242,0.79165,9.0797e-05,9.0797e-05,9.0797e-05
92,194.686,1.14486,0.78372,0.76314,0.72601,0.68517,0.71801,0.32525,1.96969,1.36054,0.8002,8.25503e-05,8.25503e-05,8.25503e-05
93,196.542,1.12539,0.78129,0.76139,0.69552,0.67886,0.70427,0.33554,1.89095,1.41995,0.79544,7.43036e-05,7.43036e-05,7.43036e-05
