epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45986,4.82248,10.6883,1.62062,0,0,0,0,3.05826,4.50658,0.89176,0.00017493,0.00017493,0.00017493
2,5.75709,3.02125,4.66896,0.89598,0.00387,0.13996,0.01397,0.00366,2.5871,4.01333,0.80147,0.000354644,0.000354644,0.000354644
3,7.99069,2.52727,3.33004,0.83474,0.01401,0.60311,0.14366,0.02909,3.32644,3.12014,0.90105,0.000530729,0.000530729,0.000530729
4,10.1932,2.24287,2.73623,0.81454,0.02036,0.96504,0.38864,0.15288,2.11295,2.49156,0.76817,0.000703186,0.000703186,0.000703186
5,12.4987,2.31257,2.4571,0.80017,0.40579,0.30121,0.45656,0.16247,2.33234,2.08651,0.78941,0.000800013,0.000800013,0.000800013
6,14.7817,2.14381,2.25772,0.7934,0.43867,0.6567,0.53207,0.26223,1.79055,1.77451,0.75709,0.000791767,0.000791767,0.000791767
7,17.0703,2.00243,2.09408,0.7894,0.4631,0.75165,0.56743,0.28328,1.77656,1.5587,0.76434,0.00078352,0.00078352,0.00078352
8,19.3403,1.98009,2.03753,0.78475,0.47508,0.88718,0.5901,0.30572,1.72361,1.39433,0.76204,0.000775273,0.000775273,0.000775273
9,21.6239,1.98477,1.94454,0.77497,0.47755,0.91498,0.59913,0.334,1.63135,1.26922,0.75932,0.000767026,0.000767026,0.000767026
10,23.8439,1.82103,1.88439,0.78427,0.48692,0.89593,0.59003,0.2835,1.92301,1.30701,0.76887,0.00075878,0.00075878,0.00075878
11,26.0391,1.88494,1.86129,0.78616,0.49902,0.86862,0.65361,0.32172,1.8813,1.27615,0.76711,0.000750533,0.000750533,0.000750533
12,28.2295,1.82984,1.78897,0.77531,0.49784,0.95081,0.66938,0.3528,1.77826,1.23344,0.75586,0.000742286,0.000742286,0.000742286
13,30.4752,1.84013,1.73657,0.77624,0.51967,0.93175,0.62747,0.33119,1.64459,1.26859,0.76031,0.00073404,0.00073404,0.00073404
14,32.8036,1.97891,1.76362,0.79427,0.53173,0.84081,0.65895,0.36692,1.56293,1.27609,0.75354,0.000725793,0.000725793,0.000725793
15,35.0031,2.0755,1.78829,0.79659,0.49716,0.88075,0.63109,0.33939,1.69431,1.28913,0.75946,0.000717546,0.000717546,0.000717546
16,37.244,1.89778,1.72313,0.79004,0.59331,0.85016,0.7737,0.39177,1.75589,1.20188,0.75945,0.000709299,0.000709299,0.000709299
17,39.4586,1.75769,1.64598,0.7786,0.69877,0.82752,0.81731,0.39652,1.94822,1.12803,0.76699,0.000701053,0.000701053,0.000701053
