epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92923,3.61508,4.64802,1.20394,0.0101,0.55736,0.00774,0.00153,2.94228,3.74941,0.90367,0.000464992,0.000464992,0.000464992
2,8.92861,2.1414,2.2683,0.77236,0.95952,0.15158,0.55321,0.24726,2.00902,2.47499,0.7749,0.000932006,0.000932006,0.000932006
3,12.8354,1.92336,1.59569,0.75658,0.77848,0.56186,0.68545,0.30486,1.94718,1.78144,0.77879,0.00138959,0.00138959,0.00138959
4,16.797,1.91628,1.39233,0.75704,0.78768,0.65929,0.72928,0.35171,1.80882,1.57593,0.77535,0.00138656,0.00138656,0.00138656
5,20.6663,1.86401,1.23705,0.75941,0.91563,0.71944,0.79041,0.42514,1.60895,1.22493,0.76332,0.00137241,0.00137241,0.00137241
6,24.7333,1.79661,1.16737,0.75943,0.50669,0.42491,0.37937,0.11779,2.90055,1.48644,0.85346,0.00135826,0.00135826,0.00135826
7,28.6861,1.77554,1.07672,0.74667,0.7824,0.74017,0.76035,0.32547,1.94732,0.89028,0.7817,0.00134412,0.00134412,0.00134412
8,32.6352,1.72502,1.02212,0.7531,0.73793,0.63734,0.65429,0.26701,2.07693,1.08143,0.78389,0.00132997,0.00132997,0.00132997
9,36.5466,1.60834,0.90817,0.74845,0.82341,0.77184,0.80375,0.44281,1.58346,0.84127,0.75665,0.00131582,0.00131582,0.00131582
10,40.4114,1.66878,0.87699,0.74815,0.83297,0.71189,0.73956,0.35957,1.84328,0.86548,0.77859,0.00130168,0.00130168,0.00130168
11,44.2688,1.64155,0.83956,0.745,0.79218,0.75165,0.76068,0.40478,1.62428,0.81589,0.76357,0.00128753,0.00128753,0.00128753
12,48.2136,1.69712,0.82498,0.74617,0.56472,0.54933,0.56306,0.18938,2.68222,1.0873,0.83892,0.00127338,0.00127338,0.00127338
13,52.1292,1.61268,0.76397,0.74584,0.77597,0.69656,0.71446,0.32914,1.94736,0.92739,0.78725,0.00125923,0.00125923,0.00125923
14,56.2504,1.4794,0.69082,0.73624,0.79109,0.7484,0.75618,0.37931,1.71035,0.84935,0.76941,0.00124509,0.00124509,0.00124509
15,60.1991,1.60022,0.72729,0.74242,0.87559,0.72176,0.79519,0.44507,1.56091,0.78487,0.7607,0.00123094,0.00123094,0.00123094
16,64.114,1.50434,0.66422,0.74219,0.7946,0.74068,0.78439,0.40893,1.61253,0.86116,0.76252,0.00121679,0.00121679,0.00121679
17,67.9971,1.52314,0.65589,0.74218,0.90103,0.71881,0.76993,0.37716,1.78631,0.81314,0.77175,0.00120265,0.00120265,0.00120265
18,71.9034,1.46978,0.62442,0.74118,0.92307,0.72393,0.79948,0.37567,1.77908,0.80868,0.77598,0.0011885,0.0011885,0.0011885
19,75.7814,1.45923,0.62354,0.7411,0.63369,0.60496,0.5984,0.22825,2.42629,0.96301,0.82558,0.00117435,0.00117435,0.00117435
20,79.8558,1.5336,0.64133,0.73706,0.79161,0.74602,0.76766,0.41638,1.66076,0.82908,0.76856,0.00116021,0.00116021,0.00116021
21,83.9401,1.41859,0.60469,0.73325,0.85302,0.72773,0.7444,0.37114,1.76204,0.84601,0.76889,0.00114606,0.00114606,0.00114606
22,87.9352,1.38717,0.60436,0.73641,0.74493,0.69102,0.68129,0.3013,2.03328,0.8934,0.78766,0.00113191,0.00113191,0.00113191
23,91.932,1.44187,0.61873,0.73902,0.85913,0.70973,0.75561,0.34324,1.8765,0.90573,0.77674,0.00111776,0.00111776,0.00111776
24,95.9008,1.45412,0.61467,0.7369,0.81652,0.7174,0.75331,0.31962,2.02048,0.91402,0.79315,0.00110362,0.00110362,0.00110362
25,99.9349,1.52026,0.62834,0.73011,0.78255,0.70715,0.72209,0.32844,1.89121,0.85215,0.78045,0.00108947,0.00108947,0.00108947
26,103.989,1.43795,0.58046,0.73586,0.84202,0.73731,0.74585,0.42686,1.52278,0.80067,0.76087,0.00107532,0.00107532,0.00107532
27,107.929,1.34031,0.54976,0.73852,0.85069,0.73297,0.78077,0.39061,1.71907,0.78363,0.7638,0.00106118,0.00106118,0.00106118
